baseline_id,structure,structural_deviation,source_term,source_partition,condition_state_sha256,constitutive_relation_count,initial_broken_relations,restored_relations,new_breaks,residual_broken_relations,relation_transition_count,initial_offset,residual_offset,net_offset_change,absolute_offset_change,direction,new_break_fraction,criticality,criticality_order,reference_baseline_top_entry_index,response_state_sha256,pair_correspondence,pair_js_correspondence,pair_sign_continuity,pair_active_hit,relation_balance,pair_rank_within_active_hits
SB0001,cutaneous epidermal neutrophilic pustular structure,acute diffuse epidermal neutrophilic pustule formation with inflammatory barrier disruption,AGEP,established_478,711efd42a066e6a359d2d9f411ced9cce38151c4000400edd4de93a83117b67f,6,2,0,0,2,0,0.12105599669884048,0.1293305615382493,0.008274564839408804,0.008274564839408804,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,abb28daf26121852998707a397fa736bc4307790e25f674d09254fa0f2f3ac5d,0.2919745136956247,0.225731114262957,0.59375,False,0,
SB0002,cortical and subcortical cognitive neural-network integrity structure,"progressive loss of cognitive-network integration, memory processing, and functional neural connectivity",AIDS dementia complex,established_478,da37a2b5e23c7bb5d10d8d6a391b6a4ed0ab18f6f9597375911777179efa5ec6,0,0,0,0,0,0,0.13791313331981647,0.15820774571227247,0.020294612392456002,0.020294612392456002,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,8cefc7b3730653e47125b0c6105f6e1c5f158d040c502ec2f256bf9f780a2bcb,0.30575024532778255,0.2356710308875397,0.625,False,0,
SB0003,anterior optic-nerve-head perfusion and axonal-conduction structure,anterior optic-nerve-head perfusion loss with axonal conduction and viability compromise,AION,established_478,a1cc969c80904646f4d9696bcd94e75991bfc236385e5811f8158c7618f6ad78,91,31,2,6,35,8,0.10878991705343244,0.1292884263829246,0.020498509329492154,0.020498509329492154,AWAY_FROM_REFERENCE,0.06593406593406594,MINOR,1,231,ab88a47975cfcab270b9bfcdd8c2b8768233475ea52da3f6b5b21a337abfcbed,0.3032990539784737,0.23439671216887037,0.6171875,True,-4,777
SB0004,myeloid hematopoietic precursor proliferation structure,increase in magnitude or spatial extent of an established structural deviation over successive states,AML progression,established_478,27e71ec9331e6e60b9fb0bcd31f948154b213a5d2ee1202ddda342b95b4858e3,0,0,0,0,0,0,0.13368714949201776,0.1443308137275242,0.010643664235506445,0.010643664235506445,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,45a2c6eaed175ccee3a29526f107cc97548245fad4a4568fe0912583a02fd505,0.31567299931965614,0.24262713331665386,0.6484375,False,0,
SB0005,antinuclear autoantibody immune-recognition structure,measured or functional quantity shifted above its reference structural range,ANA increased,established_478,80370ceee86577a9155bd3ff819c052f21fcf7a3c1f3c3ddda82799b2bfc7d84,45,12,2,2,12,4,0.18659277101615257,0.2025303843965982,0.015937613380445637,0.015937613380445637,AWAY_FROM_REFERENCE,0.044444444444444446,MINOR,1,231,9772ac938b12fbf101a934a5c585cd60f39af661630f522a77edc7f3ba45e6ac,0.3108182774126972,0.2418515578203625,0.625,True,0,435
SB0006,lower-limb gait motor-control structure,failure or instability of coordinated lower-limb gait motor output,Abasia,established_478,d09cd0b629c2b02dc8471bfe901f37d6e6fee9e739ef8697f9a59df604f4b449,171,87,10,1,78,11,0.24720928056398772,0.2353474031158671,-0.011861877448120617,0.011861877448120617,TOWARD_REFERENCE,0.005847953216374269,MINOR,1,230,df0636335340bf60d028953d0621a9440c62c94a26d8691dbd7a2c2a3442447e,0.27064397449531624,0.20486307865282471,0.5703125,True,9,1469
SB0007,abdominal visceral innate-immune structure,localized inflammatory cavity with tissue breakdown and accumulated cellular/fluid contents,Abdominal abscess,established_478,6b80ec26c1598897b547a3da9bc4bab5b1a3201fe4dcca9633e88fab3eb78268,1,0,0,0,0,0,0.20599750275164364,0.21653591373316772,0.010538410981524082,0.010538410981524082,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,5ace47a4af55712fd9fec170602e01df99a912e5198ccf01af7d78c441cca64a,0.29513998208198255,0.23302131961217387,0.578125,False,0,
SB0008,abdominal visceral structural and motility structure,abnormal fibrous connection between normally mobile tissue surfaces with constrained relative motion,Abdominal adhesions,established_478,2911e0008b41a3d709f12d84a0e89ebcf6f211766d8f81a35e264d83251280cc,0,0,0,0,0,0,0.16128446781414474,0.18363051303065214,0.022346045216507404,0.022346045216507404,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,a470f5ae8b7a298234f802ef44295b6a6f3c5215997f75381761d9061c2a06e9,0.3129489111053213,0.24102001354307478,0.640625,False,0,
SB0009,abdominal aortic wall tensile integrity structure,localized vessel-wall dilation with reduced tensile integrity,Abdominal aortic aneurysm,established_478,f5888e82479c81a2dc66b5a0751e1e0d3e9b84e927665827e5373e75bfcf60d7,0,0,0,0,0,0,0.16043968033933131,0.17105833067353404,0.010618650334202728,0.010618650334202728,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,9bfa2fa92982e5a034853058a2b6c455c98f4fc5683788361ec149baca300dbc,0.2962523181262936,0.22408819283694348,0.625,False,0,
SB0010,abdominal aortic blood-flow and wall mechanical structure,"turbulent blood-flow state generated by altered lumen geometry, wall compliance, or flow velocity",Abdominal aortic bruit,established_478,9ff95f78245c28fec45ee60f61bbdcdd20a224119dc55f35b80396f771882484,3,0,0,0,0,0,0.12002104712889694,0.12537291294172925,0.005351865812832313,0.005351865812832313,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,869c80410688d90e7ce729d3b7eec3ec25d0e25d9c2d0975fb2c3db423acd183,0.26164412658243713,0.20074741046638678,0.5390625,False,0,
SB0011,intestinal smooth-muscle motility and luminal-volume structure,increased luminal or compartment volume/pressure causing geometric expansion,Abdominal bloating,established_478,aff06a07a9db84cf7882de15f0cee76ab5b8a2cd69f7a510c69dc3155e346ae2,351,114,21,12,105,33,0.13435134946289962,0.16117859337540996,0.026827243912510346,0.026827243912510346,AWAY_FROM_REFERENCE,0.03418803418803419,MINOR,1,223,94dee1d2e8854796799412cce90964956d7abb1a445ffdef4c13613623956dd4,0.31042912844957327,0.24137698591411372,0.625,True,9,545
SB0012,intestinal smooth-muscle motility and luminal-volume structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,Abdominal colic,established_478,46d539233ebace2d6ff44be6ae2ef4cf32c62dc3b4e5738c5a528de02f7ec721,351,128,27,11,112,38,0.13377698647922043,0.16300611612776983,0.0292291296485494,0.0292291296485494,AWAY_FROM_REFERENCE,0.03133903133903134,MINOR,1,223,d5dbcc868ee94557fc842ecfd64c5bf5621ffbf4947465922e6193782d801fc4,0.3122734254633548,0.24705600666262784,0.609375,True,16,401
SB0013,intestinal smooth-muscle motility and luminal-volume structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,Abdominal cramps,established_478,46d539233ebace2d6ff44be6ae2ef4cf32c62dc3b4e5738c5a528de02f7ec721,351,128,27,11,112,38,0.13377698647922043,0.16300611612776983,0.0292291296485494,0.0292291296485494,AWAY_FROM_REFERENCE,0.03133903133903134,MINOR,1,223,42d256e82cc4ffdd2b0d8a3ccf2707c17875327c54365655d3cd9e6025f30623,0.3122734254633548,0.24705600666262784,0.609375,True,16,402
SB0014,abdominal visceral sensory-transmission structure,abnormal sensory-autonomic signaling indicating departure from the reference local functional state,Abdominal discomfort,established_478,7c265f5eb5b283a4af48b24a97241e7717d4bbf9425cc82c4cc1805cf423bf71,6,2,0,0,2,0,0.20572715736995895,0.22912853161121038,0.023401374241251438,0.023401374241251438,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,222,af259c36901323b6d875ece0e2e7fc91481608d754ae8450feabf9c41a0ae80f,0.3178872906445816,0.25561712273729464,0.6015625,False,0,
SB0015,abdominal visceral structural and motility structure,departure from the reference structural configuration or regulated functional range,Abdominal disorder,established_478,7d6a07d38a34244936e47a70383e98011c4cfad795d80f46a43d7544c3e670f5,0,0,0,0,0,0,0.1827569979526722,0.20133993715168352,0.018582939199011328,0.018582939199011328,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,8b4456542369c0b0b1d19902a69ca4d721d72535a086e65572b349f98e6a7958,0.2985117493764784,0.23370335289814437,0.59375,False,0,
SB0016,intestinal smooth-muscle motility and luminal-volume structure,increased luminal or compartment volume/pressure causing geometric expansion,Abdominal distension,established_478,aff06a07a9db84cf7882de15f0cee76ab5b8a2cd69f7a510c69dc3155e346ae2,351,114,21,12,105,33,0.13435134946289962,0.16117859337540996,0.026827243912510346,0.026827243912510346,AWAY_FROM_REFERENCE,0.03418803418803419,MINOR,1,223,d3afe5745b6960d8a73ad86490395cf505e0650a7b6ab00b3d0988ef334ac461,0.31042912844957327,0.24137698591411372,0.625,True,9,546
SB0017,intestinal smooth-muscle motility and luminal-volume structure,increased luminal or compartment volume/pressure causing geometric expansion,Abdominal distension gaseous,established_478,aff06a07a9db84cf7882de15f0cee76ab5b8a2cd69f7a510c69dc3155e346ae2,351,114,21,12,105,33,0.13435134946289962,0.16117859337540996,0.026827243912510346,0.026827243912510346,AWAY_FROM_REFERENCE,0.03418803418803419,MINOR,1,223,bd10e37e90d30a639fbe4b28d70499ea7ceaa9a9105b1724f2b96a9c40feb52c,0.31042912844957327,0.24137698591411372,0.625,True,9,547
SB0018,abdominal visceral sensory-transmission structure,abnormal sensory-autonomic signaling indicating departure from the reference local functional state,Abdominal distress,established_478,7c265f5eb5b283a4af48b24a97241e7717d4bbf9425cc82c4cc1805cf423bf71,6,2,0,0,2,0,0.20572715736995895,0.22912853161121038,0.023401374241251438,0.023401374241251438,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,222,e9190152c49d60c05412603117d1ee861591b393e43d9746897fa5dca41b0a2d,0.3178872906445816,0.25561712273729464,0.6015625,False,0,
SB0019,abdominal-wall fascial mechanical integrity structure,displacement of tissue across its normal supporting boundary,Abdominal hernia,established_478,b31812b2ceb87c4645843b53ec870a53c1650c6a8afce0a7c30cd61f4eb74fb2,0,0,0,0,0,0,0.18916401377747605,0.20413542738106338,0.014971413603587336,0.014971413603587336,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,9da8e379bd75cb2d3736a313d6f4b9702333201d05000b98e9a33ef8146a06bf,0.2977425864468285,0.23105041030101037,0.6015625,False,0,
