baseline_id,source_term,structure,structural_deviation,source_partition,condition_state_sha256,constitutive_relation_count,initial_broken_relations,restored_relations,new_breaks,residual_broken_relations,relation_transition_count,initial_offset,residual_offset,net_offset_change,absolute_offset_change,direction,new_break_fraction,criticality,criticality_order,reference_baseline_top_entry_index,condition_top_entry_index,response_top_entry_index,response_state_sha256,pair_correspondence,pair_js_correspondence,pair_sign_continuity,relation_balance,pair_active_hit,pair_rank_within_active_hits
SB0001,AGEP,cutaneous epidermal neutrophilic pustular structure,acute diffuse epidermal neutrophilic pustule formation with inflammatory barrier disruption,established_478,711efd42a066e6a359d2d9f411ced9cce38151c4000400edd4de93a83117b67f,6,2,0,0,2,0,0.12105599669884048,0.12966257203538245,0.008606575336541966,0.008606575336541966,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,,,26ed916a4281068a67aee7b0424d7bf0137fb6378fe1f19fa87000bdcc559666,0.1594344055148526,0.07095659209128369,0.5625,0,False,
SB0002,AIDS dementia complex,cortical and subcortical cognitive neural-network integrity structure,"progressive loss of cognitive-network integration, memory processing, and functional neural connectivity",established_478,da37a2b5e23c7bb5d10d8d6a391b6a4ed0ab18f6f9597375911777179efa5ec6,0,0,0,0,0,0,0.13791313331981647,0.15321562777509845,0.015302494455281979,0.015302494455281979,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,546a99f4ef4127e4e68ca33ca02072d21e99fb0d1013cb6d7fbd09974e3111c9,0.1648742737641366,0.0775905777611422,0.5625,0,False,
SB0003,AION,anterior optic-nerve-head perfusion and axonal-conduction structure,anterior optic-nerve-head perfusion loss with axonal conduction and viability compromise,established_478,a1cc969c80904646f4d9696bcd94e75991bfc236385e5811f8158c7618f6ad78,91,31,2,5,34,7,0.10878991705343244,0.11859632277050225,0.00980640571706981,0.00980640571706981,AWAY_FROM_REFERENCE,0.054945054945054944,MINOR,1,231,,,cec53aabe9ed57f9c6ae044763e3cda4eb0fdba8693b1c826355b28b7c09923e,0.16512551113055843,0.0761820257689737,0.5703125,-3,True,772
SB0004,AML progression,myeloid hematopoietic precursor proliferation structure,increase in magnitude or spatial extent of an established structural deviation over successive states,established_478,27e71ec9331e6e60b9fb0bcd31f948154b213a5d2ee1202ddda342b95b4858e3,0,0,0,0,0,0,0.13368714949201776,0.14264427738850693,0.00895712789648917,0.00895712789648917,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,,,b2fe7e1044a0727c246ba4039c5059ad96b1207cc2d561dbe5f451498d08c2ba,0.1860606755757841,0.08456332387290744,0.6484375,0,False,
SB0005,ANA increased,antinuclear autoantibody immune-recognition structure,measured or functional quantity shifted above its reference structural range,established_478,80370ceee86577a9155bd3ff819c052f21fcf7a3c1f3c3ddda82799b2bfc7d84,45,12,3,2,11,5,0.18659277101615257,0.19959136015064405,0.012998589134491478,0.012998589134491478,AWAY_FROM_REFERENCE,0.044444444444444446,MINOR,1,231,,,e156b6e4f62de6b86534e243a35e045409b7f4c11c5de6e31f08fc9ecb0f342c,0.1582032077380144,0.06602525333904197,0.578125,1,True,1106
SB0006,Abasia,lower-limb gait motor-control structure,failure or instability of coordinated lower-limb gait motor output,established_478,d09cd0b629c2b02dc8471bfe901f37d6e6fee9e739ef8697f9a59df604f4b449,171,87,5,3,85,8,0.24720928056398772,0.24426408639453068,-0.002945194169457044,0.002945194169457044,TOWARD_REFERENCE,0.017543859649122806,MINOR,1,230,,,20b8169c64100dbaeb59a0f996cf402a8e132a3689907a932c2df7b48668a197,0.16218473543435702,0.06573595784677688,0.6015625,2,True,963
SB0007,Abdominal abscess,abdominal visceral innate-immune structure,localized inflammatory cavity with tissue breakdown and accumulated cellular/fluid contents,established_478,6b80ec26c1598897b547a3da9bc4bab5b1a3201fe4dcca9633e88fab3eb78268,1,0,0,0,0,0,0.20599750275164364,0.2153116219219917,0.009314119170348079,0.009314119170348079,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,,,a90a7921e9c1600b0cb5220cf69fe973e3f4b98ed1bf024c5998b74a1105ca68,0.16856562281218773,0.08552210099047286,0.546875,0,False,
SB0008,Abdominal adhesions,abdominal visceral structural and motility structure,abnormal fibrous connection between normally mobile tissue surfaces with constrained relative motion,established_478,2911e0008b41a3d709f12d84a0e89ebcf6f211766d8f81a35e264d83251280cc,0,0,0,0,0,0,0.16128446781414474,0.1710725227630575,0.009788054948912772,0.009788054948912772,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,5f692147fea35ff1bba840f62b845cc274b83e7ade80aa3fbdf70e860a1f5d87,0.16576490525661197,0.07524683567879509,0.578125,0,False,
SB0009,Abdominal aortic aneurysm,abdominal aortic wall tensile integrity structure,localized vessel-wall dilation with reduced tensile integrity,established_478,f5888e82479c81a2dc66b5a0751e1e0d3e9b84e927665827e5373e75bfcf60d7,0,0,0,0,0,0,0.16043968033933131,0.1668824126840629,0.006442732344731583,0.006442732344731583,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,724256cb9434b8af2e261a69ac0e0396ea7ac2ca5fe7ce726455678c87f17276,0.1771616717940393,0.07885569730980402,0.625,0,False,
SB0010,Abdominal aortic bruit,abdominal aortic blood-flow and wall mechanical structure,"turbulent blood-flow state generated by altered lumen geometry, wall compliance, or flow velocity",established_478,9ff95f78245c28fec45ee60f61bbdcdd20a224119dc55f35b80396f771882484,3,0,0,0,0,0,0.12002104712889694,0.1222306279586568,0.0022095808297598607,0.0022095808297598607,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,,,9263aa203a6a5010f16334acf7f9fcb2a70fdc0a17a4993909d315f33ef201a0,0.16604280459439333,0.07387079828584553,0.5859375,0,False,
SB0011,Abdominal bloating,intestinal smooth-muscle motility and luminal-volume structure,increased luminal or compartment volume/pressure causing geometric expansion,established_478,aff06a07a9db84cf7882de15f0cee76ab5b8a2cd69f7a510c69dc3155e346ae2,351,114,3,9,120,12,0.13435134946289962,0.1498203934871276,0.015469044024227996,0.015469044024227996,AWAY_FROM_REFERENCE,0.02564102564102564,MINOR,1,223,,,ba7b8621cf40aa0f6d98680fab0bc3ff0def050368373e696c78d947a00328cf,0.16587154788927155,0.07880676571862388,0.5625,-6,True,752
SB0012,Abdominal colic,intestinal smooth-muscle motility and luminal-volume structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,established_478,46d539233ebace2d6ff44be6ae2ef4cf32c62dc3b4e5738c5a528de02f7ec721,351,128,5,11,134,16,0.13377698647922043,0.15022174372907893,0.0164447572498585,0.0164447572498585,AWAY_FROM_REFERENCE,0.03133903133903134,MINOR,1,223,,,338222bf2bf1bdb93bf5ae85fd7a0d26114f4b151c8568fdf6a6048713b9b46c,0.18069526789611529,0.09002471694648206,0.59375,-6,True,309
SB0013,Abdominal cramps,intestinal smooth-muscle motility and luminal-volume structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,established_478,46d539233ebace2d6ff44be6ae2ef4cf32c62dc3b4e5738c5a528de02f7ec721,351,128,5,11,134,16,0.13377698647922043,0.15022174372907893,0.0164447572498585,0.0164447572498585,AWAY_FROM_REFERENCE,0.03133903133903134,MINOR,1,223,,,a82a25e264dd095278251a6ce2389a903b6cae81dc81c2f9d10edf705d9767be,0.18069526789611529,0.09002471694648206,0.59375,-6,True,310
SB0014,Abdominal discomfort,abdominal visceral sensory-transmission structure,abnormal sensory-autonomic signaling indicating departure from the reference local functional state,established_478,7c265f5eb5b283a4af48b24a97241e7717d4bbf9425cc82c4cc1805cf423bf71,6,2,0,0,2,0,0.20572715736995895,0.22229100077086017,0.016563843400901224,0.016563843400901224,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,222,,,3a7679a65fa966f5fb7cc53a5ece000c995faf731703889b8ab938e8f810a799,0.20630605414873948,0.1092528099374872,0.6484375,0,False,
SB0015,Abdominal disorder,abdominal visceral structural and motility structure,departure from the reference structural configuration or regulated functional range,established_478,7d6a07d38a34244936e47a70383e98011c4cfad795d80f46a43d7544c3e670f5,0,0,0,0,0,0,0.1827569979526722,0.18789410608150725,0.005137108128835055,0.005137108128835055,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,ada9ff46e630dae8ffef9c37d6f2b3982a536c559d115adbcdefdd05a4375ad4,0.14051461957451683,0.054743438505508335,0.53125,0,False,
SB0016,Abdominal distension,intestinal smooth-muscle motility and luminal-volume structure,increased luminal or compartment volume/pressure causing geometric expansion,established_478,aff06a07a9db84cf7882de15f0cee76ab5b8a2cd69f7a510c69dc3155e346ae2,351,114,3,9,120,12,0.13435134946289962,0.1498203934871276,0.015469044024227996,0.015469044024227996,AWAY_FROM_REFERENCE,0.02564102564102564,MINOR,1,223,,,efe55a1ddc3baeeb83ab159a34a36203596028d10caad74557a6ae12576255eb,0.16587154788927155,0.07880676571862388,0.5625,-6,True,753
