baseline_id,source_term,structure,structural_deviation,source_partition,condition_state_sha256,constitutive_relation_count,initial_broken_relations,restored_relations,new_breaks,residual_broken_relations,relation_transition_count,initial_offset,residual_offset,net_offset_change,absolute_offset_change,direction,new_break_fraction,criticality,criticality_order,reference_baseline_top_entry_index,condition_top_entry_index,response_top_entry_index,response_state_sha256,pair_correspondence,pair_js_correspondence,pair_sign_continuity,relation_balance,pair_active_hit,pair_rank_within_active_hits
SB0001,AGEP,cutaneous epidermal neutrophilic pustular structure,acute diffuse epidermal neutrophilic pustule formation with inflammatory barrier disruption,established_478,711efd42a066e6a359d2d9f411ced9cce38151c4000400edd4de93a83117b67f,6,2,0,0,2,0,0.12105599669884048,0.11998879447869415,-0.001067202220146335,0.001067202220146335,TOWARD_REFERENCE,0.0,INFORMATIONAL,0,230,,,005f71a67bc935bf64af5725001988f9e5d0aab76f2e6f668dfc927082c5398f,0.2825295838459253,0.21764278517795765,0.578125,0,False,
SB0002,AIDS dementia complex,cortical and subcortical cognitive neural-network integrity structure,"progressive loss of cognitive-network integration, memory processing, and functional neural connectivity",established_478,da37a2b5e23c7bb5d10d8d6a391b6a4ed0ab18f6f9597375911777179efa5ec6,0,0,0,0,0,0,0.13791313331981647,0.13972645155070862,0.001813318230892147,0.001813318230892147,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,0eadfa98a511f2d99ef05c0d39ae686ae0da4e1e36fda4e53c0ffa3ca3eb2369,0.2869949283165716,0.21622857111777027,0.609375,0,False,
SB0003,AION,anterior optic-nerve-head perfusion and axonal-conduction structure,anterior optic-nerve-head perfusion loss with axonal conduction and viability compromise,established_478,a1cc969c80904646f4d9696bcd94e75991bfc236385e5811f8158c7618f6ad78,91,31,2,4,33,6,0.10878991705343244,0.11841671830348655,0.009626801250054107,0.009626801250054107,AWAY_FROM_REFERENCE,0.04395604395604396,MINOR,1,231,,,21aa7e4aa631ef34eb93bfc8e12dcd64cccd964c3f2978232dede2bce8cc6e5a,0.2791578821546924,0.21181601482279566,0.5859375,-2,True,941
SB0004,AML progression,myeloid hematopoietic precursor proliferation structure,increase in magnitude or spatial extent of an established structural deviation over successive states,established_478,27e71ec9331e6e60b9fb0bcd31f948154b213a5d2ee1202ddda342b95b4858e3,0,0,0,0,0,0,0.13368714949201776,0.13469944953095203,0.0010123000389342662,0.0010123000389342662,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,,,8c9b8ccf77e383f5a5a5ad7fbd8adfb545bc28d3dc26e5ea621ac87a621dbfd3,0.30153558505478767,0.2253863842131557,0.6484375,0,False,
SB0005,ANA increased,antinuclear autoantibody immune-recognition structure,measured or functional quantity shifted above its reference structural range,established_478,80370ceee86577a9155bd3ff819c052f21fcf7a3c1f3c3ddda82799b2bfc7d84,45,12,1,2,13,3,0.18659277101615257,0.18903497425557658,0.0024422032394240123,0.0024422032394240123,AWAY_FROM_REFERENCE,0.044444444444444446,MINOR,1,231,,,7b043dc657d9e9b52d342fa19add8dedcbd3edf2d7c571681f579ad17fe0914b,0.309368945631262,0.24008408003812443,0.625,-1,True,94
SB0006,Abasia,lower-limb gait motor-control structure,failure or instability of coordinated lower-limb gait motor output,established_478,d09cd0b629c2b02dc8471bfe901f37d6e6fee9e739ef8697f9a59df604f4b449,171,87,10,1,78,11,0.24720928056398772,0.2344589298274775,-0.012750350736510208,0.012750350736510208,TOWARD_REFERENCE,0.005847953216374269,MINOR,1,230,,,2f7dc5cfdf3587c0731d9014f4221258bb0b8881ab9deb4fe89980e9c67316c5,0.2681290879980875,0.19836626585132622,0.5859375,9,True,1362
SB0007,Abdominal abscess,abdominal visceral innate-immune structure,localized inflammatory cavity with tissue breakdown and accumulated cellular/fluid contents,established_478,6b80ec26c1598897b547a3da9bc4bab5b1a3201fe4dcca9633e88fab3eb78268,1,0,0,0,0,0,0.20599750275164364,0.20281629299332526,-0.0031812097583183707,0.0031812097583183707,TOWARD_REFERENCE,0.0,INFORMATIONAL,0,230,,,e33d95c23e636d113e262cb701b699e27416d1ce16440c7513da034ea002eb17,0.2700491182634854,0.20585258324815292,0.5625,0,False,
SB0008,Abdominal adhesions,abdominal visceral structural and motility structure,abnormal fibrous connection between normally mobile tissue surfaces with constrained relative motion,established_478,2911e0008b41a3d709f12d84a0e89ebcf6f211766d8f81a35e264d83251280cc,0,0,0,0,0,0,0.16128446781414474,0.16998490475081995,0.008700436936675215,0.008700436936675215,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,5ba6a4d3b64dd9444e4265fc7a0a49e9670a96814c4cc6778656d4920f39eefc,0.3008627273078256,0.22628076500954342,0.640625,0,False,
SB0009,Abdominal aortic aneurysm,abdominal aortic wall tensile integrity structure,localized vessel-wall dilation with reduced tensile integrity,established_478,f5888e82479c81a2dc66b5a0751e1e0d3e9b84e927665827e5373e75bfcf60d7,0,0,0,0,0,0,0.16043968033933131,0.1635802723437817,0.003140592004450382,0.003140592004450382,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,a641c664d5875a7bff194af2c421a9f22097bdf2ea193d002b9bffeb84005462,0.2775716363795344,0.20130687363357858,0.625,0,False,
SB0010,Abdominal aortic bruit,abdominal aortic blood-flow and wall mechanical structure,"turbulent blood-flow state generated by altered lumen geometry, wall compliance, or flow velocity",established_478,9ff95f78245c28fec45ee60f61bbdcdd20a224119dc55f35b80396f771882484,3,0,0,0,0,0,0.12002104712889694,0.1183520355029859,-0.0016690116259110432,0.0016690116259110432,TOWARD_REFERENCE,0.0,INFORMATIONAL,0,230,,,7145e88442e6d8b4b655e52fe3cc1d763403736cba7ef418644600e30da39535,0.24534824132271815,0.1774445016130709,0.5546875,0,False,
SB0011,Abdominal bloating,intestinal smooth-muscle motility and luminal-volume structure,increased luminal or compartment volume/pressure causing geometric expansion,established_478,aff06a07a9db84cf7882de15f0cee76ab5b8a2cd69f7a510c69dc3155e346ae2,351,114,24,6,96,30,0.13435134946289962,0.14519401549857713,0.010842666035677517,0.010842666035677517,AWAY_FROM_REFERENCE,0.017094017094017096,MINOR,1,223,,,73b9f75869b7780f68d8428be5d04d7be1a3240fbc3b751b26ba04e7176c4621,0.3039975349732984,0.23353357923572982,0.625,18,True,194
SB0012,Abdominal colic,intestinal smooth-muscle motility and luminal-volume structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,established_478,46d539233ebace2d6ff44be6ae2ef4cf32c62dc3b4e5738c5a528de02f7ec721,351,128,26,7,109,33,0.13377698647922043,0.144744199746353,0.01096721326713257,0.01096721326713257,AWAY_FROM_REFERENCE,0.019943019943019943,MINOR,1,223,,,870cea4f3bef6fe2452264b22d65fdccfb2372163f3724570b7c56b463a61457,0.2978257848665634,0.2294369327641017,0.609375,19,True,354
SB0013,Abdominal cramps,intestinal smooth-muscle motility and luminal-volume structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,established_478,46d539233ebace2d6ff44be6ae2ef4cf32c62dc3b4e5738c5a528de02f7ec721,351,128,26,7,109,33,0.13377698647922043,0.144744199746353,0.01096721326713257,0.01096721326713257,AWAY_FROM_REFERENCE,0.019943019943019943,MINOR,1,223,,,3c0e0cf4715492d7f9407a34e829c3232e31b2d4cbd5a1805d566b855acfe4d7,0.2978257848665634,0.2294369327641017,0.609375,19,True,355
SB0014,Abdominal discomfort,abdominal visceral sensory-transmission structure,abnormal sensory-autonomic signaling indicating departure from the reference local functional state,established_478,7c265f5eb5b283a4af48b24a97241e7717d4bbf9425cc82c4cc1805cf423bf71,6,2,0,0,2,0,0.20572715736995895,0.2103990590592042,0.00467190168924525,0.00467190168924525,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,222,,,a34fcbbf22cffd9fdfc4d5961f5d40f6d65b1d67efe429afa499a8d86591f195,0.2844466575869438,0.22169561900846813,0.5703125,0,False,
SB0015,Abdominal disorder,abdominal visceral structural and motility structure,departure from the reference structural configuration or regulated functional range,established_478,7d6a07d38a34244936e47a70383e98011c4cfad795d80f46a43d7544c3e670f5,0,0,0,0,0,0,0.1827569979526722,0.18920514449903258,0.006448146546360389,0.006448146546360389,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,9f732e2a3df7938877f3752847ebd60a5d2b2b7e120160d4f999033f0f9dd066,0.2923317247107594,0.22959661550092614,0.578125,0,False,
SB0016,Abdominal distension,intestinal smooth-muscle motility and luminal-volume structure,increased luminal or compartment volume/pressure causing geometric expansion,established_478,aff06a07a9db84cf7882de15f0cee76ab5b8a2cd69f7a510c69dc3155e346ae2,351,114,24,6,96,30,0.13435134946289962,0.14519401549857713,0.010842666035677517,0.010842666035677517,AWAY_FROM_REFERENCE,0.017094017094017096,MINOR,1,223,,,927dafb3a421b3839965ba4ed7039d3752b2862a6ec817a1650534e421f8ee0a,0.3039975349732984,0.23353357923572982,0.625,18,True,195
