baseline_id,source_term,structure,structural_deviation,source_partition,condition_state_sha256,constitutive_relation_count,initial_broken_relations,restored_relations,new_breaks,residual_broken_relations,relation_transition_count,initial_offset,residual_offset,net_offset_change,absolute_offset_change,direction,new_break_fraction,criticality,criticality_order,reference_baseline_top_entry_index,condition_top_entry_index,response_top_entry_index,response_state_sha256,pair_correspondence,pair_js_correspondence,pair_sign_continuity,relation_balance,pair_active_hit,pair_rank_within_active_hits
SB0348,Antidiuresis,renal collecting-duct vasopressin water-reabsorption structure,urine output reduced by increased water retention relative to the reference fluid-balance state,established_478,6212173108f74847102ca442fcf5d9ea18bacf2e271e48de0e2b9dd0bf32cc7e,15,13,0,2,15,2,0.17642730980684762,0.1877536591317821,0.011326349324934482,0.011326349324934482,AWAY_FROM_REFERENCE,0.13333333333333333,MINOR,1,231,,,7a22cb2102c0be272acaeff83caa1a88257b4ff58bb05baf4aaf25993e38577b,0.35337629361310907,0.28003206538184033,0.6875,-2,True,1
SB2347,HCV coinfection,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by hcv coinfection",remaining_5256,6b2317f2bf8683ca8f9cfe8c5be4a46e10a450c60fffcc1926a9a6d0ed623459,15,9,2,0,7,2,0.189780525200812,0.20555286160758313,0.015772336406771115,0.015772336406771115,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,fd40ef916d15233849d145aed9f6b240acfbb07c37332d7d3a032d763a4e4ab8,0.34831414559395757,0.2755736531633629,0.6796875,2,True,2
SB4488,QRS complex,cardiac conduction and myocardial rhythm structure,"altered configuration or regulated output of the named structure, expressed as the state described by qrs complex",remaining_5256,59c7d51fb813157dbd76263f48312d79c7d830fc2077e99a306ee838835fdf1c,21,6,1,0,5,1,0.15148360021134188,0.16672113680900058,0.015237536597658696,0.015237536597658696,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,f7a09f6518b0961bf5283f313a1ad7392ab103131aa32c582f36fbd1967804b5,0.3477706917257722,0.2766258435680149,0.671875,1,True,3
SB5492,VT,cardiac conduction and myocardial rhythm structure,"altered configuration or regulated output of the named structure, expressed as the state described by vt",remaining_5256,4609356e007b2af179aa404ef4dc5c0aa4db59abdf74e028a4331ad7c5544243,21,6,1,0,5,1,0.15100204729724598,0.16685004198205156,0.015847994684805577,0.015847994684805577,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,0f8a38bc1eb4b5276f2b0768601c24df047e4b748c18e6b4abf3dbafda746670,0.3470389341601696,0.2757334562928898,0.671875,1,True,4
SB1602,Dropped beats,cardiac conduction and myocardial rhythm structure,intermittent failure or pause of expected cardiac depolarization/conduction cycles,remaining_5256,463d94e08d2bef4f494b721f5f5a343eaa3a45cb9e3356aa639acc9e3a6f7435,21,7,3,0,4,3,0.171088169046401,0.1902203505020157,0.019132181455614683,0.019132181455614683,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,9ad3c4b1bfe65527f450cfb4f0093be2110612d430ff8dd18984ee6215017dc7,0.34486837294765516,0.27823124749714045,0.6484375,3,True,5
SB5133,Syphilis,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by syphilis",remaining_5256,29cb6f46f39b8e76042da48fa4443cf2566b3f4a4cdb68e6e88db1cddda17a90,15,9,1,0,8,1,0.19335173186580445,0.20454284149787993,0.01119110963207548,0.01119110963207548,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,ae085a0961bd5bc2aa21a532d8ecf5326b8f731c29d7fdbc7d2ceb5a6fb08a21,0.3443316742222173,0.27414685880758205,0.6640625,1,True,6
SB1702,Ear feels clogged,cochlear-mechanical and auditory-neural transduction structure,"altered configuration or regulated output of the named structure, expressed as the state described by ear feels clogged",remaining_5256,8b8b7371170a9e4b2c5c42675f0f54fd8075e39b00fff2fe855668b836c4a9db,276,78,10,11,79,21,0.14523810278802107,0.1566469071605039,0.011408804372482817,0.011408804372482817,AWAY_FROM_REFERENCE,0.03985507246376811,MINOR,1,230,,,f000ad2c5df0f7249b78095048d5e6575c4a0295fc9434a7da33d9cf4542b86e,0.34337394598891235,0.2695490194986736,0.6796875,-1,True,7
SB5291,Torsade de pointes,cardiac conduction and myocardial rhythm structure,"altered configuration or regulated output of the named structure, expressed as the state described by torsade de pointes",remaining_5256,3192e1070511a49041ad8a3754f358163e3cf6060270b583fa74a80a4de403eb,21,6,1,0,5,1,0.1567695278865724,0.1733844494471346,0.016614921560562212,0.016614921560562212,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,1e3f8260b55559c661285377d068dd2c07a1a38f76203ddcf0d042dd0c5319c3,0.3433364334819507,0.27464808961213505,0.65625,1,True,8
SB1657,Dysautonomia,sympathetic-parasympathetic autonomic-control network,"altered configuration or regulated output of the named structure, expressed as the state described by dysautonomia",remaining_5256,6cb7592d0f0f7d73b643ad03f4b45352cda19a0736a9b34493954077263d14f7,78,37,8,1,30,9,0.15918385607545782,0.17461739170914103,0.015433535633683215,0.015433535633683215,AWAY_FROM_REFERENCE,0.01282051282051282,MINOR,1,223,,,8445db5438d380fa2f0e411d2eccfbd63a10f44e58952f456cc33afa24c083af,0.34238817813483785,0.2700618026034608,0.671875,7,True,9
SB1426,Deafness,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.18023544389280177,0.014131521927945867,0.014131521927945867,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,,,216cfd1cbb2be1da9a44eed7cea66bdb251cdd8be9667657ef0b3dee92c3736b,0.34237304579807365,0.27004334853423617,0.671875,-8,True,10
SB1427,Deafness bilateral,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.18023544389280177,0.014131521927945867,0.014131521927945867,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,,,ea2aa48a09dc14b03fd900be091cbbd12526ab16eb37dba3d99059de25dfb8fc,0.34237304579807365,0.27004334853423617,0.671875,-8,True,11
SB1428,Deafness neurosensory,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.18023544389280177,0.014131521927945867,0.014131521927945867,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,,,5eeee1ac076e184f201f9a70a0747108930a2e82ae700b90672bc7260ba618ed,0.34237304579807365,0.27004334853423617,0.671875,-8,True,12
SB1429,Deafness permanent,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.18023544389280177,0.014131521927945867,0.014131521927945867,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,,,bef1981818056a10a6294305c131d5c95114126f23db251235c9af200b969a76,0.34237304579807365,0.27004334853423617,0.671875,-8,True,13
SB1430,Deafness transitory,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.18023544389280177,0.014131521927945867,0.014131521927945867,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,,,40ae01b0642685b3e71bf30baa131ef652598d02bbd682820ed57c9502c3195c,0.34237304579807365,0.27004334853423617,0.671875,-8,True,14
SB1431,Deafness unilateral,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.18023544389280177,0.014131521927945867,0.014131521927945867,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,,,7a7aacb8338cf3c772532cb01e5ee175a063acb1b70137ce1c61502ac9971401,0.34237304579807365,0.27004334853423617,0.671875,-8,True,15
SB4007,Partial permanent deafness,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.18023544389280177,0.014131521927945867,0.014131521927945867,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,,,6f341285add816669f51d931076c0b6870c665699af66bcb081aee6e80c9d401,0.34237304579807365,0.27004334853423617,0.671875,-8,True,16
SB4009,Partial transitory deafness,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.18023544389280177,0.014131521927945867,0.014131521927945867,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,,,afbd2dd4c36e27e9ed4af10d8f6bfcf566acc3fc75aa8f63fdd2137003c09ebf,0.34237304579807365,0.27004334853423617,0.671875,-8,True,17
SB5076,Sudden deafness,cochlear-mechanical and auditory-neural transduction structure,reduction or loss of auditory mechanical/neural signal transduction,remaining_5256,7c8f44187ea8218fc30c19e54782f9e0fd88cf82ef4a5bed429e8cb8568c5f8e,276,65,8,16,73,24,0.1661039219648559,0.18023544389280177,0.014131521927945867,0.014131521927945867,AWAY_FROM_REFERENCE,0.057971014492753624,MINOR,1,230,,,b2149f4376f685451c2cb71910f4bf81112b827ed87ef1a0553ce9b4e0a7e487,0.34237304579807365,0.27004334853423617,0.671875,-8,True,18
SB2814,Influenza like illness,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by influenza like illness",remaining_5256,428abea7b415f79b641ec0606619f2ed387ed02aeddefde737fad978111ebeab,15,9,2,0,7,2,0.18413271972825185,0.1968491912640815,0.012716471535829665,0.012716471535829665,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,73d1a31c16507e772ea16eba902c33209cf453ec724daab6c449a3a4afc4ff89,0.34189788733046145,0.27289376503714813,0.65625,2,True,19
SB2517,Herpes NOS,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by herpes",remaining_5256,ac504f77d244b12ccf0f2e5cc2a0fe7fb89cdae57a4925d5fb741de5fa70c667,15,9,1,0,8,1,0.19038885964529595,0.20141197268762534,0.011023113042329391,0.011023113042329391,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,d4f5127d6a30b8e578a6df690b31fa833012a6ab9b7751e79686f5adb5f71cae,0.3418752620138875,0.27115123416327747,0.6640625,1,True,20
SB2813,Influenza,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by influenza",remaining_5256,8e9fcdea28477c1e43159d326873b3cb9f62ea913f0ed053fa2cdf17669dce18,15,9,2,0,7,2,0.1797973302726541,0.19101775703054735,0.011220426757893254,0.011220426757893254,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,6bfb6d42a47330b7a76f0c053f468a657cc76ab464fc375fd373bf0cfc566e8c,0.34186503954832614,0.2711387677418612,0.6640625,2,True,21
SB1726,Eczema eyelids,"cutaneous epidermal-dermal barrier, appendage, vascular, and immune structure","altered configuration or regulated output of the named structure, expressed as the state described by eczema eyelids",remaining_5256,ea8fc5c96efa0d5c5869f9b34e4a338c61a351cfef298f3f042ceb08dfa0badb,300,122,12,13,123,25,0.165179192705323,0.17795102593751233,0.012771833232189334,0.012771833232189334,AWAY_FROM_REFERENCE,0.043333333333333335,MINOR,1,231,,,16cc685d604e4541ef597df09e0456118f8abf18de08616c621e56b46e9c2740,0.341752800186525,0.2658570733982012,0.6875,-1,True,22
SB3243,Malaria,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by malaria",remaining_5256,5aca3d5cf4f87e75e6eea7f4bfa4c1a2f396ce103e6413fc1febd9ebf3223f17,15,9,1,0,8,1,0.18696597812627624,0.19724639886934103,0.010280420743064789,0.010280420743064789,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,c70a7c12592868c4c6589c05969f2aee03a1b8b2852d74d8784b784aa4e9c3c1,0.3414348959385293,0.2706142023640602,0.6640625,1,True,23
SB4336,Proarrhythmia,cardiac conduction and myocardial rhythm structure,"altered configuration or regulated output of the named structure, expressed as the state described by proarrhythmia",remaining_5256,be538d0f51b281d0c06664fc841edb4a4e500fc03c2d595a0d3c856cd1260e19,21,6,1,0,5,1,0.1427075473666094,0.15797168938983686,0.015264142023227456,0.015264142023227456,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,abe74b9e1b57ba79a79adcd5d9b6c5953eb3483226ef9c4a423e53605b56b537,0.3409485874238763,0.27345102124862963,0.6484375,1,True,24
SB2919,Intestinal diaphragm disease,"intestinal mucosal barrier, smooth-muscle motility, and luminal transport structure","altered configuration or regulated output of the named structure, expressed as the state described by intestinal diaphragm disease",remaining_5256,008a6645f67c72f802193e8ed06b7a57493cf0beb5dafeecabe454121585cf5c,276,88,6,23,105,29,0.12212400218899444,0.14478173287504625,0.022657730686051814,0.022657730686051814,AWAY_FROM_REFERENCE,0.08333333333333333,MINOR,1,231,,,395f277a3c062814101b2e6c65b7a16575015a34c8834876e1971142f5e6c778,0.3408624588477323,0.27677586444845403,0.6328125,-17,True,25
SB2519,Herpes labialis,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by herpes labialis",remaining_5256,33d7a3aa30eeea4bfb1e41f638215c7768dceb67e776765a10a6bbacc8409692,15,9,2,0,7,2,0.18556848009455285,0.19959757547401147,0.014029095379458623,0.014029095379458623,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,352709e739384a479fdc71b10dfae6d25dab14e3977533a4c5fac3780e11151f,0.34066586157825895,0.2713912946076329,0.65625,2,True,26
