baseline_id,structure,structural_deviation,source_term,source_partition
SB0001,cutaneous epidermal neutrophilic pustular structure,acute diffuse epidermal neutrophilic pustule formation with inflammatory barrier disruption,AGEP,established_478
SB0002,cortical and subcortical cognitive neural-network integrity structure,"progressive loss of cognitive-network integration, memory processing, and functional neural connectivity",AIDS dementia complex,established_478
SB0003,anterior optic-nerve-head perfusion and axonal-conduction structure,anterior optic-nerve-head perfusion loss with axonal conduction and viability compromise,AION,established_478
SB0004,myeloid hematopoietic precursor proliferation structure,increase in magnitude or spatial extent of an established structural deviation over successive states,AML progression,established_478
SB0005,antinuclear autoantibody immune-recognition structure,measured or functional quantity shifted above its reference structural range,ANA increased,established_478
SB0006,lower-limb gait motor-control structure,failure or instability of coordinated lower-limb gait motor output,Abasia,established_478
SB0007,abdominal visceral innate-immune structure,localized inflammatory cavity with tissue breakdown and accumulated cellular/fluid contents,Abdominal abscess,established_478
SB0008,abdominal visceral structural and motility structure,abnormal fibrous connection between normally mobile tissue surfaces with constrained relative motion,Abdominal adhesions,established_478
SB0009,abdominal aortic wall tensile integrity structure,localized vessel-wall dilation with reduced tensile integrity,Abdominal aortic aneurysm,established_478
SB0010,abdominal aortic blood-flow and wall mechanical structure,"turbulent blood-flow state generated by altered lumen geometry, wall compliance, or flow velocity",Abdominal aortic bruit,established_478
SB0011,intestinal smooth-muscle motility and luminal-volume structure,increased luminal or compartment volume/pressure causing geometric expansion,Abdominal bloating,established_478
SB0012,intestinal smooth-muscle motility and luminal-volume structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,Abdominal colic,established_478
SB0013,intestinal smooth-muscle motility and luminal-volume structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,Abdominal cramps,established_478
SB0014,abdominal visceral sensory-transmission structure,abnormal sensory-autonomic signaling indicating departure from the reference local functional state,Abdominal discomfort,established_478
SB0015,abdominal visceral structural and motility structure,departure from the reference structural configuration or regulated functional range,Abdominal disorder,established_478
SB0016,intestinal smooth-muscle motility and luminal-volume structure,increased luminal or compartment volume/pressure causing geometric expansion,Abdominal distension,established_478
SB0017,intestinal smooth-muscle motility and luminal-volume structure,increased luminal or compartment volume/pressure causing geometric expansion,Abdominal distension gaseous,established_478
SB0018,abdominal visceral sensory-transmission structure,abnormal sensory-autonomic signaling indicating departure from the reference local functional state,Abdominal distress,established_478
SB0019,abdominal-wall fascial mechanical integrity structure,displacement of tissue across its normal supporting boundary,Abdominal hernia,established_478
SB0020,abdominal visceral innate-immune structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Abdominal infection,established_478
SB0021,abdominal tissue mechanical-integrity structure,externally imposed mechanical/thermal/chemical tissue-integrity disruption,Abdominal injury,established_478
SB0022,abdominal tissue proliferative-control structure,loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Abdominal neoplasm,established_478
SB0023,abdominal visceral sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Abdominal pain,established_478
SB0024,abdominal visceral sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Abdominal pain aggravated,established_478
SB0025,abdominal visceral sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Abdominal pain generalised,established_478
SB0026,abdominal visceral sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Abdominal pain localised,established_478
SB0027,abdominal visceral sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Abdominal pain lower,established_478
SB0028,abdominal visceral sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Abdominal pain upper,established_478
SB0029,abdominal-wall skeletal-muscle tone structure,"abnormally increased mechanical resistance, muscle tone, or tissue stiffness",Abdominal rigidity,established_478
SB0030,abdominal visceral innate-immune structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Abdominal sepsis,established_478
SB0031,intestinal smooth-muscle motility and luminal-volume structure,excess or sustained contractile activation causing abnormal narrowing or mechanical state,Abdominal spasm,established_478
SB0032,abdominal-wall fascial mechanical integrity structure,displacement of tissue across its normal supporting boundary,Abdominal strangulated hernia,established_478
SB0033,abdominal visceral sensory-transmission structure,observable sensory or functional output indicating departure from the reference structural state,Abdominal symptom,established_478
SB0034,abdominal visceral sensory-transmission structure,increased nociceptive signaling associated with local tissue or neural perturbation,Abdominal tenderness,established_478
SB0035,abdominal-wall soft-tissue innate-immune structure,localized inflammatory cavity with tissue breakdown and accumulated cellular/fluid contents,Abdominal wall abscess,established_478
SB0036,corticolimbic affect-arousal and behavioral-control network structure,departure from the reference structural configuration or regulated functional range,Abnormal behaviour,established_478
SB0037,intestinal smooth-muscle and enteric-neural motility structure,departure from the reference structural configuration or regulated functional range,Abnormal bowel sounds,established_478
SB0038,airway airflow and lung parenchymal acoustic structure,departure from the reference structural configuration or regulated functional range,Abnormal chest sounds NOS,established_478
SB0039,blood coagulation and platelet-hemostasis structure,departure from the reference structural configuration or regulated functional range,Abnormal clotting factor,established_478
SB0040,sleep-state thalamocortical network structure,departure from the reference structural configuration or regulated functional range,Abnormal dreams,established_478
SB0041,male reproductive autonomic ejaculatory structure,departure from the reference structural configuration or regulated functional range,Abnormal ejaculation,established_478
SB0042,"ocular optical, retinal, vascular, and visual-neural structure",departure from the reference structural configuration or regulated functional range,Abnormal eye movements NOS,established_478
SB0043,"intestinal digestion, transit, and stool-composition structure",departure from the reference structural configuration or regulated functional range,Abnormal faeces,established_478
SB0044,basal-ganglia motor-control and oscillatory movement structure,departure from the reference structural configuration or regulated functional range,Abnormal involuntary movements,established_478
