baseline_id,source_term,structure,structural_deviation,source_partition,condition_state_sha256,constitutive_relation_count,initial_broken_relations,restored_relations,new_breaks,residual_broken_relations,relation_transition_count,initial_offset,residual_offset,net_offset_change,absolute_offset_change,direction,new_break_fraction,criticality,criticality_order,reference_baseline_top_entry_index,condition_top_entry_index,response_top_entry_index,response_state_sha256,pair_correspondence,pair_js_correspondence,pair_sign_continuity,relation_balance,pair_active_hit,pair_rank_within_active_hits
SB0001,AGEP,cutaneous epidermal neutrophilic pustular structure,acute diffuse epidermal neutrophilic pustule formation with inflammatory barrier disruption,established_478,711efd42a066e6a359d2d9f411ced9cce38151c4000400edd4de93a83117b67f,6,2,0,0,2,0,0.12105599669884048,0.1467824707706823,0.02572647407184181,0.02572647407184181,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,,,7126b985d334beccdba26342ca00e6d2e79ff45b66e560af085d6d54ec8b50b3,0.27952772895634137,0.21055210848334316,0.59375,0,False,
SB0002,AIDS dementia complex,cortical and subcortical cognitive neural-network integrity structure,"progressive loss of cognitive-network integration, memory processing, and functional neural connectivity",established_478,da37a2b5e23c7bb5d10d8d6a391b6a4ed0ab18f6f9597375911777179efa5ec6,0,0,0,0,0,0,0.13791313331981647,0.18169775903457674,0.04378462571476027,0.04378462571476027,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,2a8982fcb5d2a8c06cc917bdcdd8c1855c9bd60f280e34f09e41a574ffa462ce,0.29373116857368975,0.2210136202118168,0.625,0,False,
SB0003,AION,anterior optic-nerve-head perfusion and axonal-conduction structure,anterior optic-nerve-head perfusion loss with axonal conduction and viability compromise,established_478,a1cc969c80904646f4d9696bcd94e75991bfc236385e5811f8158c7618f6ad78,91,31,2,8,37,10,0.10878991705343244,0.146472502439297,0.03768258538586455,0.03768258538586455,AWAY_FROM_REFERENCE,0.08791208791208792,MINOR,1,231,,,80e25cd185e3893461bd14ad7d99919e293d43ebe57d23b42786f3c65a3ba514,0.2914377535833274,0.21993171168698467,0.6171875,-6,True,786
SB0004,AML progression,myeloid hematopoietic precursor proliferation structure,increase in magnitude or spatial extent of an established structural deviation over successive states,established_478,27e71ec9331e6e60b9fb0bcd31f948154b213a5d2ee1202ddda342b95b4858e3,0,0,0,0,0,0,0.13368714949201776,0.160728218140751,0.027041068648733235,0.027041068648733235,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,,,08419e936b8bc418568e85598284395da21f0d61e5a16fcff9941fa44dc34c3d,0.30385225757164597,0.2282115945995683,0.6484375,0,False,
SB0005,ANA increased,antinuclear autoantibody immune-recognition structure,measured or functional quantity shifted above its reference structural range,established_478,80370ceee86577a9155bd3ff819c052f21fcf7a3c1f3c3ddda82799b2bfc7d84,45,12,2,3,13,5,0.18659277101615257,0.2216461878625814,0.03505341684642882,0.03505341684642882,AWAY_FROM_REFERENCE,0.06666666666666667,MINOR,1,231,,,2d3372b1a71f75379a85bb8762fb6daf2ed9794e4dd174f2b39ddd0fb60f5245,0.29509131895625657,0.22267234019055682,0.625,-1,True,650
SB0006,Abasia,lower-limb gait motor-control structure,failure or instability of coordinated lower-limb gait motor output,established_478,d09cd0b629c2b02dc8471bfe901f37d6e6fee9e739ef8697f9a59df604f4b449,171,87,10,1,78,11,0.24720928056398772,0.24741235701043562,0.0002030764464479029,0.0002030764464479029,AWAY_FROM_REFERENCE,0.005847953216374269,MINOR,1,230,,,003c1caabc9807087290426db87dac5241ae6e16f370b7e0e3eb4c8f7f512e8d,0.2598709040084543,0.1917251878151882,0.5703125,9,True,1487
SB0007,Abdominal abscess,abdominal visceral innate-immune structure,localized inflammatory cavity with tissue breakdown and accumulated cellular/fluid contents,established_478,6b80ec26c1598897b547a3da9bc4bab5b1a3201fe4dcca9633e88fab3eb78268,1,0,0,0,0,0,0.20599750275164364,0.23400414814094306,0.028006645389299423,0.028006645389299423,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,,,9d8f1106291ad8443a62f808f6ad62fc0a982980901fb4be2d9856b6e9acd584,0.2857168027033523,0.2215296374431126,0.578125,0,False,
SB0008,Abdominal adhesions,abdominal visceral structural and motility structure,abnormal fibrous connection between normally mobile tissue surfaces with constrained relative motion,established_478,2911e0008b41a3d709f12d84a0e89ebcf6f211766d8f81a35e264d83251280cc,0,0,0,0,0,0,0.16128446781414474,0.1998206798649531,0.03853621205080837,0.03853621205080837,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,4e784d827f65df86d4b27257456b8d6f28b43213de6acd49b1b97e7a7e22939e,0.29961178772160485,0.2247552289287864,0.640625,0,False,
SB0009,Abdominal aortic aneurysm,abdominal aortic wall tensile integrity structure,localized vessel-wall dilation with reduced tensile integrity,established_478,f5888e82479c81a2dc66b5a0751e1e0d3e9b84e927665827e5373e75bfcf60d7,0,0,0,0,0,0,0.16043968033933131,0.18608756156823625,0.025647881228904934,0.025647881228904934,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,1bdf58d8a513e6facc97876fce46b8028ee4ae8d9702de6da4a89077bb8b6304,0.2859976595823962,0.21158251168584907,0.625,0,False,
SB0010,Abdominal aortic bruit,abdominal aortic blood-flow and wall mechanical structure,"turbulent blood-flow state generated by altered lumen geometry, wall compliance, or flow velocity",established_478,9ff95f78245c28fec45ee60f61bbdcdd20a224119dc55f35b80396f771882484,3,0,0,0,0,0,0.12002104712889694,0.1400752958961482,0.02005424876725126,0.02005424876725126,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,,,7b758d4b66285b477f11916635a493dd32ce35f1a23878686a4674534ab70d7d,0.25323247674555294,0.1904893009092109,0.5390625,0,False,
SB0011,Abdominal bloating,intestinal smooth-muscle motility and luminal-volume structure,increased luminal or compartment volume/pressure causing geometric expansion,established_478,aff06a07a9db84cf7882de15f0cee76ab5b8a2cd69f7a510c69dc3155e346ae2,351,114,20,16,110,36,0.13435134946289962,0.1843607355088911,0.05000938604599148,0.05000938604599148,AWAY_FROM_REFERENCE,0.045584045584045586,MINOR,1,223,,,51f0a39e51f80641fb365a7813551a9b13498cba002fa650ff31e896c6810fa1,0.29724805031615975,0.22530250038556066,0.625,4,True,584
SB0012,Abdominal colic,intestinal smooth-muscle motility and luminal-volume structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,established_478,46d539233ebace2d6ff44be6ae2ef4cf32c62dc3b4e5738c5a528de02f7ec721,351,128,27,13,114,40,0.13377698647922043,0.18688265219293276,0.053105665713712336,0.053105665713712336,AWAY_FROM_REFERENCE,0.037037037037037035,MINOR,1,223,,,07a28812372ee576ba12fa75be8c2c8c6036248fd6e0166fa30cb2e3586491ec,0.30099169908647294,0.23329780376399145,0.609375,14,True,474
SB0013,Abdominal cramps,intestinal smooth-muscle motility and luminal-volume structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,established_478,46d539233ebace2d6ff44be6ae2ef4cf32c62dc3b4e5738c5a528de02f7ec721,351,128,27,13,114,40,0.13377698647922043,0.18688265219293276,0.053105665713712336,0.053105665713712336,AWAY_FROM_REFERENCE,0.037037037037037035,MINOR,1,223,,,cbb90cfd525d65864edc98b99e2c4956673f54bf8d953b375c4cfefaf21a5c07,0.30099169908647294,0.23329780376399145,0.609375,14,True,475
SB0014,Abdominal discomfort,abdominal visceral sensory-transmission structure,abnormal sensory-autonomic signaling indicating departure from the reference local functional state,established_478,7c265f5eb5b283a4af48b24a97241e7717d4bbf9425cc82c4cc1805cf423bf71,6,2,0,0,2,0,0.20572715736995895,0.2504081642544008,0.044681006884441876,0.044681006884441876,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,222,,,e986f320fef6882599c064d3041ce5fbcf062ac096cbe084845debf7cd276035,0.30902666357127295,0.244811479964967,0.6015625,0,False,
SB0015,Abdominal disorder,abdominal visceral structural and motility structure,departure from the reference structural configuration or regulated functional range,established_478,7d6a07d38a34244936e47a70383e98011c4cfad795d80f46a43d7544c3e670f5,0,0,0,0,0,0,0.1827569979526722,0.21855331407521783,0.035796316122545635,0.035796316122545635,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,f1f1c6844b9e6ccf0cfa5d7c8107c5a82c7bccec0929fbe5b0f8b47ad347db37,0.28236784115663194,0.21401565994711214,0.59375,0,False,
SB0016,Abdominal distension,intestinal smooth-muscle motility and luminal-volume structure,increased luminal or compartment volume/pressure causing geometric expansion,established_478,aff06a07a9db84cf7882de15f0cee76ab5b8a2cd69f7a510c69dc3155e346ae2,351,114,20,16,110,36,0.13435134946289962,0.1843607355088911,0.05000938604599148,0.05000938604599148,AWAY_FROM_REFERENCE,0.045584045584045586,MINOR,1,223,,,2d930143bff939665d48e23cc136c3460696cbd3dc76c173f37a9c2f8217d0af,0.29724805031615975,0.22530250038556066,0.625,4,True,585
SB0017,Abdominal distension gaseous,intestinal smooth-muscle motility and luminal-volume structure,increased luminal or compartment volume/pressure causing geometric expansion,established_478,aff06a07a9db84cf7882de15f0cee76ab5b8a2cd69f7a510c69dc3155e346ae2,351,114,20,16,110,36,0.13435134946289962,0.1843607355088911,0.05000938604599148,0.05000938604599148,AWAY_FROM_REFERENCE,0.045584045584045586,MINOR,1,223,,,345650641325534993ae8c9b7676ab2e205c588d290737f21c3b0c256b149358,0.29724805031615975,0.22530250038556066,0.625,4,True,586
SB0018,Abdominal distress,abdominal visceral sensory-transmission structure,abnormal sensory-autonomic signaling indicating departure from the reference local functional state,established_478,7c265f5eb5b283a4af48b24a97241e7717d4bbf9425cc82c4cc1805cf423bf71,6,2,0,0,2,0,0.20572715736995895,0.2504081642544008,0.044681006884441876,0.044681006884441876,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,222,,,476b8f86be9b0ad081fbd923d917dfa0158c09cfdfd90aedfdc1d1f0f1166737,0.30902666357127295,0.244811479964967,0.6015625,0,False,
SB0019,Abdominal hernia,abdominal-wall fascial mechanical integrity structure,displacement of tissue across its normal supporting boundary,established_478,b31812b2ceb87c4645843b53ec870a53c1650c6a8afce0a7c30cd61f4eb74fb2,0,0,0,0,0,0,0.18916401377747605,0.22869743652139451,0.03953342274391847,0.03953342274391847,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,,,47a91700e5be87afcb3038c3b3eea3cd09b6a1e216638ddba9b3659873e446a9,0.2875680961961742,0.21864249536118807,0.6015625,0,False,
SB0020,Abdominal infection,abdominal visceral innate-immune structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,established_478,8dffcee6832de4ee865b24d6e42cb2fb8c1528623a8172a3f108bcb3f7b89146,1,0,0,0,0,0,0.21053962883300648,0.23184326650739728,0.021303637674390807,0.021303637674390807,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,,,299c4426d593a14497898bd764b80f99ea642ead73006dc200ea9c8a933e1a69,0.25953569291468775,0.1998910889203509,0.53125,0,False,
SB0021,Abdominal injury,abdominal tissue mechanical-integrity structure,externally imposed mechanical/thermal/chemical tissue-integrity disruption,established_478,da920c787cf453f7fc7dcd6ace6d7cdec86430fb26d58018292068a4236add74,10,4,1,0,3,1,0.1507024967643339,0.183871384388947,0.03316888762461312,0.03316888762461312,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,230,,,80a2706751ee2df4d71cd54aaf8292c4c0096fa91f034aaf1c12ac11e4d0faa2,0.2611261491849864,0.19497091364022734,0.5625,1,True,1476
