baseline_id,source_term,structure,structural_deviation,source_partition,condition_state_sha256,constitutive_relation_count,initial_broken_relations,restored_relations,new_breaks,residual_broken_relations,relation_transition_count,initial_offset,residual_offset,net_offset_change,absolute_offset_change,direction,new_break_fraction,criticality,criticality_order,reference_baseline_top_entry_index,condition_top_entry_index,response_top_entry_index,response_state_sha256,pair_correspondence,pair_js_correspondence,pair_sign_continuity,relation_balance,pair_active_hit,pair_rank_within_active_hits
SB2520,Herpes simplex,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by herpes simplex",remaining_5256,eba194e9365ac813479658187dac4c46ad44350f133d33885a8244e67d8c6cbf,15,9,1,0,8,1,0.1870246240831105,0.1984822217393193,0.011457597656208796,0.011457597656208796,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,e5c2037d41a5de3e8cbcf444c2e7db9a2b019cb14d91734ef980dc1191a595ec,0.21110933794313452,0.10653577797943237,0.6875,1,True,1
SB2517,Herpes NOS,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by herpes",remaining_5256,ac504f77d244b12ccf0f2e5cc2a0fe7fb89cdae57a4925d5fb741de5fa70c667,15,9,1,0,8,1,0.19038885964529595,0.20107406302854003,0.01068520338324408,0.01068520338324408,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,a5252b4452a254994b4be71242ea30f296d3bad538795061aaf01225aa9b0e05,0.2097981697413977,0.10322185334316791,0.6953125,1,True,2
SB5459,Urosepsis,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by urosepsis",remaining_5256,25ed96e79321d259c351c70dbf267721987df67c855ad4b2f8e0dffde1602b51,15,9,1,0,8,1,0.19217672537516073,0.20335179409796988,0.011175068722809156,0.011175068722809156,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,4a005c34555db3b2d87d54c940090fcd9426e7366ba8b9895f8ca6b30ef36c10,0.2085754161889141,0.10687550754745623,0.671875,1,True,3
SB2813,Influenza,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by influenza",remaining_5256,8e9fcdea28477c1e43159d326873b3cb9f62ea913f0ed053fa2cdf17669dce18,15,9,1,0,8,1,0.1797973302726541,0.19112372246133202,0.011326392188677925,0.011326392188677925,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,209599011e36e9df84b9fd64a1b8413e0ebf4d19caa1a6502a0ef486b248a5e2,0.2053843174087232,0.10469886269356488,0.6640625,1,True,4
SB2347,HCV coinfection,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by hcv coinfection",remaining_5256,6b2317f2bf8683ca8f9cfe8c5be4a46e10a450c60fffcc1926a9a6d0ed623459,15,9,1,0,8,1,0.189780525200812,0.20184094751580406,0.012060422314992048,0.012060422314992048,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,373a8d0e84f55abf1e4040b700491ded03f007969df04bc41d1a3b8c12cc9af6,0.2047967544320145,0.10398232247806649,0.6640625,1,True,5
SB5133,Syphilis,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by syphilis",remaining_5256,29cb6f46f39b8e76042da48fa4443cf2566b3f4a4cdb68e6e88db1cddda17a90,15,9,1,0,8,1,0.19335173186580445,0.20399163414305022,0.01063990227724576,0.01063990227724576,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,d16c9b8ac4c1099c91760c974d5eeb2e6dad93b31ddc9f019567dd57a12eb582,0.20341983138377467,0.10230314802899354,0.6640625,1,True,6
SB3243,Malaria,innate-adaptive host-defense structure,"altered configuration or regulated output of the named structure, expressed as the state described by malaria",remaining_5256,5aca3d5cf4f87e75e6eea7f4bfa4c1a2f396ce103e6413fc1febd9ebf3223f17,15,9,1,0,8,1,0.18696597812627624,0.19763491504901531,0.01066893692273907,0.01066893692273907,AWAY_FROM_REFERENCE,0.0,INFORMATIONAL,0,231,,,b8d3e853e5c0ba3481d9db61ed9962c4bb0512f103100cc5c59741ecb7849c27,0.20271136326208739,0.1048690405635212,0.6484375,1,True,7
SB0277,Anal discomfort,anorectal mucosal and sphincter structural structure,abnormal sensory-autonomic signaling indicating departure from the reference local functional state,established_478,57d8ae7eb761cfa4516a0bfab5cc7e8116ce47d0d6a35fc4b021e3fb94fb5634,325,173,1,14,186,15,0.17976341637471216,0.2001173976291687,0.020353981254456532,0.020353981254456532,AWAY_FROM_REFERENCE,0.043076923076923075,MINOR,1,171,,,c36ca74e67eb940df3a6bfaf5782fdef4433b655554da96a861b94dd54de865c,0.20216151321359804,0.10762836977268053,0.6328125,-13,True,8
SB0325,Anorectal discomfort,anorectal mucosal and sphincter structural structure,abnormal sensory-autonomic signaling indicating departure from the reference local functional state,established_478,57d8ae7eb761cfa4516a0bfab5cc7e8116ce47d0d6a35fc4b021e3fb94fb5634,325,173,1,14,186,15,0.17976341637471216,0.2001173976291687,0.020353981254456532,0.020353981254456532,AWAY_FROM_REFERENCE,0.043076923076923075,MINOR,1,171,,,054673d962449cd26b89ed41ef2fd3be4990f7aa95e4210e21881692ad201f76,0.20216151321359804,0.10762836977268053,0.6328125,-13,True,9
SB0439,Arrhythmia,cardiac muscle rhythm,abnormal cardiac activation sequence producing disordered rhythm and mechanical timing,established_478,74bec3db352554d5809ff8bf51f4786242eb532b5e39c1be1cc80d84590670dd,105,62,6,12,68,18,0.3019939819347145,0.30466957056161514,0.002675588626900649,0.002675588626900649,AWAY_FROM_REFERENCE,0.11428571428571428,MINOR,1,230,,,0cc45d782f3ff2d7c9ab9d7ee2542208043184e2907a5574bd90b78e70ed75df,0.20157895177024276,0.10005817289053998,0.6640625,-6,True,10
