baseline_id,structure,structural_deviation,source_term,source_partition,condition_state_sha256,constitutive_relation_count,initial_broken_relations,restored_relations,new_breaks,residual_broken_relations,relation_transition_count,initial_offset,residual_offset,net_offset_change,absolute_offset_change,direction,new_break_fraction,criticality,criticality_order,reference_baseline_top_entry_index,response_state_sha256,pair_correspondence,pair_js_correspondence,pair_sign_continuity,pair_active_hit,relation_balance,pair_rank_within_active_hits,condition_top_entry_index,response_top_entry_index
SB0379,dominant-hemisphere cortical language-processing structure,"loss or impairment of language comprehension, formulation, or symbolic communication",Aphasia,established_478,91c72d1a3c33607aaaec349e117f2fb50d4e713e1f19adf3de7d385216e006a0,3,0,0,1,1,1,0.19333569954598984,0.23515218117452164,0.0418164816285318,0.0418164816285318,AWAY_FROM_REFERENCE,0.3333333333333333,MODERATE,2,231,1bbe9114fc9ca2bf62e51afc1121a63fee38240982e432188e0e29502f3bc9cc,0.28675522972970946,0.22622588991427983,0.5625,True,-1,943,,
SB1656,dominant-hemisphere language-processing and speech-planning network,impaired motor execution of speech articulation despite preserved language formulation,Dysarthria,remaining_5256,3847ff830170f0564c8db45f8a61e5afa4ae8a3bab72cea8369bfb8f171356cd,231,104,7,17,114,24,0.16978720511102607,0.2270210203729064,0.057233815261880316,0.057233815261880316,AWAY_FROM_REFERENCE,0.0735930735930736,MINOR,1,230,9d4b84433dfd1781ad828eafcb79308a2e5d66d9925370ba8ae7e21d45b59b20,0.29205851603471455,0.21382898296916408,0.6484375,True,-10,768,,
SB1666,dominant-hemisphere language-processing and speech-planning network,impaired generation of written symbolic output,Dysgraphia,remaining_5256,99b61db23ef996e476217f9f6240b0c1646ed7902a78bf25c5261e8bc412c067,231,113,7,13,119,20,0.2181717192988044,0.27465915481951264,0.05648743552070823,0.05648743552070823,AWAY_FROM_REFERENCE,0.05627705627705628,MINOR,1,230,e90f3d71185ab2ec3f2a2a8ae9319e97db4da7f6dc1804346acac4a14469b300,0.30975130490580116,0.23540555476317215,0.6484375,True,-6,137,,
SB1669,dominant-hemisphere language-processing and speech-planning network,impaired mapping of written symbols to language representations,Dyslexia,remaining_5256,0fe9c2ee005b9b64f3853513f73929dede19c3011686bcede380c68bd7149d05,231,129,8,13,134,21,0.23362204630323458,0.28956229072028106,0.05594024441704648,0.05594024441704648,AWAY_FROM_REFERENCE,0.05627705627705628,MINOR,1,230,f0791574a3892abcdfacf967ce02a93aee0991afee1fe01f0903a6ed6388f861,0.2990759267760147,0.22753161801953015,0.625,True,-5,534,,
SB1679,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by dysphasia",Dysphasia,remaining_5256,dee56dd4e0bae9bed9c3913831490c26b80969af98a40a4b7053d42f78975fcc,231,92,3,17,106,20,0.15805728467861213,0.22159984282289225,0.06354255814428011,0.06354255814428011,AWAY_FROM_REFERENCE,0.0735930735930736,MINOR,1,230,d2f39432a443969bc37009bba9a68d0bcc4cc9b5258d6d6e0e23e6890d21f585,0.30552968958740534,0.2439767555943968,0.5859375,True,-14,223,,
SB1929,dominant-hemisphere language-processing and speech-planning network,departure from the reference structural configuration or regulated functional range,Expressive language disorder,remaining_5256,b111aac0ad4ad79e76d5d9e93b63c5694123c35b29424e21ec6dc96fa0cb05b0,231,106,8,18,116,26,0.1795845592145957,0.24637162286698755,0.06678706365239184,0.06678706365239184,AWAY_FROM_REFERENCE,0.07792207792207792,MINOR,1,230,780317bbc16b593aee10f0e21a2b53b7fd3f059c5daeee097b139934ef20e16d,0.3111167098194509,0.2353557436822572,0.65625,True,-10,119,230,174
SB3035,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by lack of spontaneous speech",Lack of spontaneous speech,remaining_5256,3b255f4dd481299bd4aa1a4d7562cf76d128231c77a64824f47666545091a5d0,231,87,2,16,101,18,0.15024886482652056,0.20901582545888975,0.05876696063236919,0.05876696063236919,AWAY_FROM_REFERENCE,0.06926406926406926,MINOR,1,230,a8ca50bf37423d37ab6e51b724fee5c7cbf9fc72338bbe57679a49adc99522c4,0.30385438513360497,0.23507394528488412,0.6171875,True,-14,258,,
SB3473,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by mutism",Mutism,remaining_5256,a8077661e3016703cecb6158c638c48e5847d7686077f43f609018cb2e141226,231,88,2,16,102,18,0.15740077768265603,0.21822822258209906,0.06082744489944303,0.06082744489944303,AWAY_FROM_REFERENCE,0.06926406926406926,MINOR,1,230,89cbcc09f988ee84051ba01225be3e2fb5fb45cc03d84182c89aa94b23a2605c,0.2977402484521877,0.23447743713681435,0.5859375,True,-14,570,,
SB4329,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by pressure of speech",Pressure of speech,remaining_5256,82d4aac500825f6f07a893e0fb1dd928a440a6da3d643428cffbc9be66939513,231,84,1,17,100,18,0.16147287749336448,0.22268882910639098,0.06121595161302651,0.06121595161302651,AWAY_FROM_REFERENCE,0.0735930735930736,MINOR,1,230,ba07fb5555001edd8bcc0c35812714f921cbe510b9670eeac942977efa348f28,0.2992609111257127,0.23976178186062524,0.5703125,True,-16,528,,
SB4609,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by repetitive speech",Repetitive speech,remaining_5256,06b2e513a2fb743d3515d025b4ec975e28b37364670086cc933ec819c5b77496,231,88,3,15,100,18,0.1505214271372033,0.2100619731809643,0.05954054604376102,0.05954054604376102,AWAY_FROM_REFERENCE,0.06493506493506493,MINOR,1,230,b01a66c6b11b77f67e9f7d497705442bbc499add65271219e9fab0b47a46a6b9,0.2972505447858784,0.2338802375437542,0.5859375,True,-12,583,,
SB4932,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by slow speech",Slow speech,remaining_5256,aad4c751ff0d93b0b27412098dc86f17ed0f5d5669a858b6ab5c1462bac2f3c5,231,88,3,15,100,18,0.15348978879374264,0.21147822331231014,0.0579884345185675,0.0579884345185675,AWAY_FROM_REFERENCE,0.06493506493506493,MINOR,1,230,773da980e49a72e0ebd2fede1d62ba00280fd449fb6514faec1ea3954922e92f,0.29669761216404655,0.23492086849273974,0.578125,True,-12,599,,
SB4934,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by slurred speech",Slurred speech,remaining_5256,b4ab212a756039d74a9f27de08d846915aa48407434f791306321d05ebcc251a,231,88,3,15,100,18,0.15339235712854338,0.2146126652901158,0.06122030816157242,0.06122030816157242,AWAY_FROM_REFERENCE,0.06493506493506493,MINOR,1,230,5ef869fc4235c81b56fe23a129374e0a752b3feee62e0ae0ee159e0149ad7ca9,0.30146568863854684,0.2390206568762766,0.5859375,True,-12,459,,
SB4968,dominant-hemisphere language-processing and speech-planning network,departure from the reference structural configuration or regulated functional range,Speech disorder,remaining_5256,b111aac0ad4ad79e76d5d9e93b63c5694123c35b29424e21ec6dc96fa0cb05b0,231,106,8,18,116,26,0.1795845592145957,0.24637162286698755,0.06678706365239184,0.06678706365239184,AWAY_FROM_REFERENCE,0.07792207792207792,MINOR,1,230,6eebc25f733d9464cf65637ff2c701dd47b22b0b103c02e6bd74f75140f4ccd0,0.3111167098194509,0.2353557436822572,0.65625,True,-10,120,230,174
SB4969,dominant-hemisphere language-processing and speech-planning network,"altered configuration or regulated output of the named structure, expressed as the state described by speech impairment",Speech impairment NOS,remaining_5256,1be45946065d54c9b9d1ebca0d5586677e86df56434cdca25b1453d8bb95c8d8,231,88,4,16,100,20,0.15523938699575002,0.21693759935889467,0.061698212363144656,0.061698212363144656,AWAY_FROM_REFERENCE,0.06926406926406926,MINOR,1,230,da3fa0018f70553001be33fcf2b50ba222aa9daaad1319dd1525a54057c9e02c,0.30003746976983003,0.23899386557296343,0.578125,True,-12,498,,
